Time[s],Error[code],Description
1493.7,73,Error Code: 73
1499.5,73,Error Code: 73
1499.5,209,Error Code: 209
1499.5,209,Error Code: 209
1499.5,191,Error Code: 191
1499.5,209,Error Code: 209
1499.5,122,Breath rejected; segment too short.
1499.5,196,Error Code: 196
1499.5,209,Error Code: 209
1499.5,191,Error Code: 191
1499.5,197,Error Code: 197
1499.5,209,Error Code: 209
1499.5,209,Error Code: 209
1499.5,197,Error Code: 197
1506.4,73,Error Code: 73
1522.3,73,Error Code: 73
1527.7,73,Error Code: 73
1528.2,197,Error Code: 197
1532.3,73,Error Code: 73
1543,73,Error Code: 73
1545.4,73,Error Code: 73
1547.4,52,User piece too small.
1549.1,73,Error Code: 73
1552.9,73,Error Code: 73
1554.7,73,Error Code: 73
1559.9,73,Error Code: 73
1561.6,73,Error Code: 73
1563.1,73,Error Code: 73
1565,73,Error Code: 73
1566.8,73,Error Code: 73
1568.6,52,User piece too small.
1568.7,73,Error Code: 73
1570.2,73,Error Code: 73
1572.3,73,Error Code: 73
1574.3,52,User piece too small.
1574.3,73,Error Code: 73
1576.3,73,Error Code: 73
1578.2,73,Error Code: 73
1580.1,52,User piece too small.
1580.2,73,Error Code: 73
1582.1,73,Error Code: 73
1584,73,Error Code: 73
1586,52,User piece too small.
1586,73,Error Code: 73
1588,73,Error Code: 73
1590.2,73,Error Code: 73
1591.9,52,User piece too small.
1592,73,Error Code: 73
1593.9,73,Error Code: 73
1596.2,73,Error Code: 73
1598.3,52,User piece too small.
1598.3,73,Error Code: 73
1600.4,73,Error Code: 73
1602.8,73,Error Code: 73
1604.8,52,User piece too small.
1604.8,73,Error Code: 73
1607.3,73,Error Code: 73
1609.4,73,Error Code: 73
1611.5,52,User piece too small.
1611.5,73,Error Code: 73
1613.8,73,Error Code: 73
1616.1,73,Error Code: 73
1621.8,73,Error Code: 73
1623.6,52,User piece too small.
1623.7,73,Error Code: 73
1625.5,73,Error Code: 73
1627.2,73,Error Code: 73
1629,52,User piece too small.
1629,73,Error Code: 73
1630.6,73,Error Code: 73
1632.2,73,Error Code: 73
1633.9,52,User piece too small.
1633.9,73,Error Code: 73
1635.5,73,Error Code: 73
1637.5,73,Error Code: 73
1639.1,52,User piece too small.
1639.1,73,Error Code: 73
1641,73,Error Code: 73
1642.3,73,Error Code: 73
1644.3,52,User piece too small.
1644.3,73,Error Code: 73
1645.6,73,Error Code: 73
1647.3,73,Error Code: 73
1649,52,User piece too small.
1649.1,73,Error Code: 73
1650.7,73,Error Code: 73
1652.5,73,Error Code: 73
1652.9,197,Error Code: 197
1653,209,Error Code: 209
1653.1,122,Breath rejected; segment too short.
1654.7,73,Error Code: 73
1656.4,73,Error Code: 73
1658,52,User piece too small.
1658,73,Error Code: 73
1659.6,73,Error Code: 73
1661.1,73,Error Code: 73
1662.3,52,User piece too small.
1662.3,73,Error Code: 73
1663.9,73,Error Code: 73
1667.2,52,User piece too small.
1667.3,73,Error Code: 73
1668.8,73,Error Code: 73
1670.4,73,Error Code: 73
1671.9,52,User piece too small.
1671.9,73,Error Code: 73
1673.8,73,Error Code: 73
1675.6,73,Error Code: 73
1677.2,52,User piece too small.
1677.2,73,Error Code: 73
1678.7,73,Error Code: 73
1680.3,73,Error Code: 73
1681.9,52,User piece too small.
1681.9,73,Error Code: 73
1683.7,73,Error Code: 73
1685.3,73,Error Code: 73
1686.7,52,User piece too small.
1686.7,73,Error Code: 73
1688.2,73,Error Code: 73
1689.9,73,Error Code: 73
1691.4,52,User piece too small.
1691.4,73,Error Code: 73
1693.1,73,Error Code: 73
1694.8,73,Error Code: 73
1696.3,52,User piece too small.
1696.3,73,Error Code: 73
1697.9,73,Error Code: 73
1699.6,73,Error Code: 73
1701,52,User piece too small.
1701,73,Error Code: 73
1704.3,73,Error Code: 73
1705.7,73,Error Code: 73
1707.1,52,User piece too small.
1707.1,73,Error Code: 73
1708.8,73,Error Code: 73
1710.3,73,Error Code: 73
1712,52,User piece too small.
1712,73,Error Code: 73
1713.5,73,Error Code: 73
1715.1,73,Error Code: 73
1716.7,52,User piece too small.
1716.7,73,Error Code: 73
1718.1,73,Error Code: 73
1719.5,73,Error Code: 73
1721.7,168,Error Code: 168
1721.9,52,User piece too small.
1723.4,73,Error Code: 73
1725.2,73,Error Code: 73
1726.6,52,User piece too small.
1726.7,73,Error Code: 73
1728.4,73,Error Code: 73
1729.7,73,Error Code: 73
1731,52,User piece too small.
1731,73,Error Code: 73
1732.8,73,Error Code: 73
1734.4,73,Error Code: 73
1735.9,52,User piece too small.
1735.9,73,Error Code: 73
1737.7,73,Error Code: 73
1739.3,73,Error Code: 73
1741.3,52,User piece too small.
1741.3,73,Error Code: 73
1743.1,73,Error Code: 73
1745,73,Error Code: 73
1746.3,52,User piece too small.
1746.3,73,Error Code: 73
1748.1,73,Error Code: 73
1749.5,73,Error Code: 73
1751,52,User piece too small.
1751.2,73,Error Code: 73
1752.7,73,Error Code: 73
1754.3,73,Error Code: 73
1755.9,52,User piece too small.
1755.9,73,Error Code: 73
1757.4,73,Error Code: 73
1758.8,73,Error Code: 73
1760.3,52,User piece too small.
1760.3,73,Error Code: 73
1761.8,73,Error Code: 73
1763.2,73,Error Code: 73
1764.6,52,User piece too small.
1764.6,73,Error Code: 73
1766.4,73,Error Code: 73
1767.7,73,Error Code: 73
1768.9,52,User piece too small.
1768.9,73,Error Code: 73
1770.8,73,Error Code: 73
1772.8,73,Error Code: 73
1774.5,52,User piece too small.
1774.5,73,Error Code: 73
1776.3,73,Error Code: 73
1777.8,73,Error Code: 73
1779.5,52,User piece too small.
1779.5,73,Error Code: 73
1781.2,73,Error Code: 73
1782.6,73,Error Code: 73
1784.3,52,User piece too small.
1784.4,73,Error Code: 73
1785.9,73,Error Code: 73
1787.4,73,Error Code: 73
1790.6,73,Error Code: 73
1792.3,73,Error Code: 73
